,BHSsort,〔KJVverseID｜book｜chapter｜verse〕,BHSA,extendedStrongNumber,Root
52302,52303,〔2734｜2｜40｜26〕,<H>מֹועֵ֑ד<h><H> <h>,4150,יעד
258930,258931,〔20021｜24｜44｜10〕,<H>יֹּ֣ום<h><H> <h>,3117,יומ
334522,334523,〔16259｜19｜139｜19〕,<H>אַנְשֵׁ֥י<h><H> <h>,582,אנשׁ
245104,245105,〔19448｜24｜21｜7〕,<H>יַד֙<h><H> <h>,3027,יוד
320346,320347,〔14818｜19｜60｜10〕,<H>אֱלֹהִ֣ים<h><H> <h>,430,אול
84241,84242,〔4398｜4｜22｜22〕,<H>אֱלֹהִים֮<h><H> <h>,430,אול
336654,336655,〔12898｜18｜2｜6〕,<H>שָּׂטָ֖ן<h><H> <h>,7854,שׂטנ
408351,408352,〔11259｜14｜4｜12〕,<H>עַמּוּדִ֣ים<h><H> <h>,5982,עמד
360764,360765,〔17394｜21｜4｜12〕,<H>חוּט֙<h><H> <h>,2339,
219441,219442,〔18081｜23｜23｜3〕,<H>יְאֹ֖ור<h><H> <h>,2975,
241889,241890,〔19306｜24｜14｜12〕,<H>רָעָ֣ב<h><H> <h>,7458,רעב
135376,135377,〔6870｜7｜11｜40〕,<H>יָמִ֖ים<h><H> <h>,3117,יומ
304992,304993,〔22880｜38｜1｜1〕,<H>חֹ֨דֶשׁ֙<h><H> <h>,2320,חדשׁ
243554,243555,〔19382｜24｜17｜24〕,<H>יֹ֣ום<h><H> <h>,3117,יומ
280382,280383,〔21261｜26｜32｜12〕,<H>חַרְבֹ֤ות<h><H> <h>,2719,חרב
284758,284759,〔21469｜26｜39｜20〕,<H>אִ֣ישׁ<h><H> <h>,376,אנשׁ
210899,210900,〔10204｜12｜24｜1〕,<H>עֶ֨בֶד֙<h><H> <h>,5650,עבד
315925,315926,〔14424｜19｜35｜13〕,<H>צֹּ֣ום<h><H> <h>,6685,צומ
7773,7774,〔423｜1｜17｜25〕,<H>עָרְלָתֹֽו<h><H>׃ <h>,6190,
281338,281339,〔21307｜26｜33｜26〕,<H>אָ֖רֶץ<h><H> <h>,776,ארצ
89281,89282,〔4686｜4｜31｜21〕,<H>מִּלְחָמָ֑ה<h><H> <h>,4421,לחמ
320706,320707,〔14851｜19｜63｜11〕,<H>אלֹ֫הִ֥ים<h><H> <h>,430,אול
404973,404974,〔11115｜13｜27｜5〕,<H>אָֽלֶף<h><H>׃ <h>,505,אלפ
79464,79465,〔4163｜4｜15｜9〕,<H>שֶּׁ֖מֶן<h><H> <h>,8081,שׁמנ
149596,149597,〔7564｜9｜15｜3〕,<H>עֹלֵל֙<h><H> <h>,5768,עול
85097,85098,〔4441｜4｜23｜24〕,<H>טֶ֔רֶף<h><H> <h>,2964,טרפ
278985,278986,〔21191｜26｜29｜7〕,<H>מָתְנָֽיִם<h><H>׃ ס <h>,4975,מתנ
371924,371925,〔21823｜27｜3｜15〕,<QR><H>קַתְרֹ֣וס<h><H> <h><qr>,7030,
285268,285269,〔21491｜26｜40｜13〕,<H>רֹ֕חַב<h><H> <h>,7341,רחב
63120,63121,〔3241｜3｜17｜5〕,<H>שְׁלָמִ֛ים<h><H> <h>,8002,שׁלמ
340323,340324,〔13264｜18｜17｜3〕,<H>יָדִ֥י<h><H> <h>,3027,יוד
376590,376591,〔22023｜27｜10｜7〕,<H>חֲרָדָ֤ה<h><H> <h>,2731,
303787,303788,〔22825｜36｜3｜4〕,<H>אַנְשֵׁ֖י<h><H> <h>,582,אנשׁ
234235,234236,〔18913｜23｜65｜15〕,<H>שִׁמְכֶ֤ם<h><H> <h>,8034,שׂום שׂימ
34185,34186,〔1793｜2｜10｜15〕,<H>יֶ֧רֶק<h><H> <h>,3418,ירק
318736,318737,〔14679｜19｜50｜10〕,<H>אָֽלֶף<h><H>׃ <h>,505,אלפ
181963,181964,〔8984｜11｜7｜49〕,<H>מְּנֹרֹות<h><H> <h>,4501,
146232,146233,〔7420｜9｜10｜1〕,<H>נָגִֽיד<h><H>׃ <h>,5057,נגד
238744,238745,〔19145｜24｜7｜25〕,<H>יֹ֖ום<h><H> <h>,3117,יומ
204342,204343,〔9931｜12｜15｜5〕,<H>מֹתֹ֔ו<h><H> <h>,4194,מות
281424,281425,〔21311｜26｜33｜30〕,<H>אָדָ֔ם<h><H> <h>,120,אדמ
295563,295564,〔22375｜30｜1｜10〕,<H>חֹ֣ומַת<h><H> <h>,2346,
423641,423642,〔11899｜14｜32｜23〕,<H>גֹּויִ֖ם<h><H> <h>,1471,
62167,62168,〔3202｜3｜15｜33〕,<H>נְּקֵבָ֑ה<h><H> <h>,5347,נקב
343905,343906,〔13636｜18｜32｜7〕,<H>יָמִ֣ים<h><H> <h>,3117,יומ
114218,114219,〔5906｜6｜3｜12〕,<H>שָּֽׁבֶט<h><H>׃ <h>,7626,שׁבט
421505,421506,〔11815｜14｜29｜23〕,<H>יְדֵיהֶ֖ם<h><H> <h>,3027,יוד
289345,289346,〔21668｜26｜46｜12〕,<H>שְׁלָמִים֮<h><H> <h>,8002,שׁלמ
89451,89452,〔4694｜4｜31｜29〕,<H>כֹּהֵ֖ן<h><H> <h>,3548,כהנ
10738,10739,〔573｜1｜23｜1〕,<H>מֵאָ֥ה<h><H> <h>,3967,
102503,102504,〔5345｜5｜16｜2〕,<H>שְׁמֹ֖ו<h><H> <h>,8034,שׂום שׂימ
134688,134689,〔6841｜7｜11｜11〕,<H>רֹ֣אשׁ<h><H> <h>,7218,ראשׁ
259885,259886,〔20056｜24｜46｜10〕,<H>צָפֹ֖ון<h><H> <h>,6828,צפנ
184145,184146,〔9071｜11｜9｜19〕,<H>אֶ֥רֶץ<h><H> <h>,776,ארצ
162372,162373,〔8112｜10｜3｜30〕,<H>אֲחִיהֶ֛ם<h><H> <h>,251,
141348,141349,〔7121｜7｜21｜18〕,<H>נָשִׁ֖ים<h><H> <h>,802,אישׁ
355160,355161,〔17256｜20｜30｜4〕,<H>שִּׂמְלָ֗ה<h><H> <h>,8071,
28444,28445,〔1517｜1｜50｜10〕,<H>יָמִֽים<h><H>׃ <h>,3117,יומ
198590,198591,〔9696｜12｜6｜21〕,<H>מֶֽלֶךְ<h><H>־<h>,4428,מלכ
181560,181561,〔8966｜11｜7｜31〕,<H>כֵ֔ן<h><H> <h>,3653,
172127,172128,〔8519｜10｜19｜7〕,<H>לַּ֔יְלָה<h><H> <h>,3915,לול
373401,373402,〔21886｜27｜5｜11〕,<H>חָכְמַת<h><H>־<h>,2452,
331777,331778,〔15961｜19｜119｜62〕,<H>מִשְׁפְּטֵ֥י<h><H> <h>,4941,שׁפט
126678,126679,〔6479｜6｜24｜2〕,<H>עֹולָ֔ם<h><H> <h>,5769,עלמ
96745,96746,〔5078｜5｜5｜24〕,<H>קֹלֹ֥ו<h><H> <h>,6963,קול
259230,259231,〔20030｜24｜44｜19〕,<H>נְסָכִֽים<h><H>׃ פ <h>,5262,נסכ
92403,92404,〔4876｜4｜35｜30〕,<H>עֵדִ֔ים<h><H> <h>,5707,עוד
354099,354100,〔17151｜20｜26｜9〕,<H>חֹ֭וחַ<h><H> <h>,2336,
176190,176191,〔8724｜11｜1｜6〕,<H>יָּמָיו֙<h><H> <h>,3117,יומ
153378,153379,〔7731｜9｜19｜24〕,<H>בְּגָדָ֗יו<h><H> <h>,899,בגד
285357,285358,〔21495｜26｜40｜17〕,<H>שְׁלֹשִׁ֥ים<h><H> <h>,7970,שׁלשׁ
389029,389030,〔12584｜16｜10｜34〕,<H>כֹּהֲנִ֣ים<h><H> <h>,3548,כהנ
220551,220552,〔18152｜23｜26｜21〕,<H>אָ֨רֶץ֙<h><H> <h>,776,ארצ
345,346,〔18｜1｜1｜18〕,<H>חֹ֑שֶׁךְ<h><H> <h>,2822,חשׁכ
368002,368003,〔12797｜17｜6｜3〕,<H>מֶּ֨לֶךְ֙<h><H> <h>,4428,מלכ
343713,343714,〔13621｜18｜31｜32〕,<H>חוּץ<h><H> <h>,2351,חוצ
335948,335949,〔16394｜19｜149｜8〕,<H>מַלְכֵיהֶ֣ם<h><H> <h>,4428,מלכ
233288,233289,〔18859｜23｜62｜4〕,<H>עֲזוּבָ֗ה<h><H> <h>,5805,עזב
356069,356070,〔7142｜8｜1｜14〕,<H>חֲמֹותָ֔הּ<h><H> <h>,2545,
274187,274188,〔20926｜26｜20｜30〕,<H>דֶ֥רֶךְ<h><H> <h>,1870,דרכ
283656,283657,〔21420｜26｜37｜22〕,<H>מֶ֧לֶךְ<h><H> <h>,4428,מלכ
211615,211616,〔10237｜12｜25｜14〕,<H>סִּירֹ֨ת<h><H> <h>,5518,
148256,148257,〔7507｜9｜13｜21〕,<H>אֵתִ֔ים<h><H> <h>,855,
176181,176182,〔8723｜11｜1｜5〕,<H>אִ֖ישׁ<h><H> <h>,376,אנשׁ
309889,309890,〔23110｜39｜2｜6〕,<H>שָׁלֹ֤ום<h><H> <h>,7965,שׁלמ
259863,259864,〔20056｜24｜46｜10〕,<H>נְקָמָה֙<h><H> <h>,5360,
322164,322165,〔14989｜19｜71｜12〕,<H>אֱ֭לֹהִים<h><H> <h>,430,אול
42619,42620,〔2237｜2｜26｜1〕,<H>שָׁנִ֔י<h><H> <h>,8144,
209347,209348,〔10152｜12｜22｜6〕,<H>חָ֣רָשִׁ֔ים<h><H> <h>,2796,חרשׁ
174269,174270,〔8602｜10｜21｜21〕,<H>אֲחִ֥י<h><H> <h>,251,
159097,159098,〔7967｜9｜28｜24〕,<H>קֶ֣מַח<h><H> <h>,7058,
233940,233941,〔18897｜23｜64｜11〕,<H>מַחֲמַדֵּ֖ינוּ<h><H> <h>,4261,
1566,1567,〔76｜1｜3｜20〕,<H>אִשְׁתֹּ֖ו<h><H> <h>,802,אישׁ
200224,200225,〔9757｜12｜8｜29〕,<H>מֶ֣לֶךְ<h><H> <h>,4428,מלכ
396567,396568,〔10651｜13｜9｜35〕,<H>אִשְׁתֹּ֖ו<h><H> <h>,802,אישׁ
1081,1082,〔52｜1｜2｜21〕,<H>תַּרְדֵּמָ֛ה<h><H> <h>,8639,רדמ
62343,62344,〔3210｜3｜16｜8〕,<H>גֹורָ֥ל<h><H> <h>,1486,
403921,403922,〔11049｜13｜25｜2〕,<H>מֶּֽלֶךְ<h><H>׃ <h>,4428,מלכ
347732,347733,〔16487｜20｜3｜31〕,<H>אִ֣ישׁ<h><H> <h>,376,אנשׁ
425574,425575,〔11975｜14｜35｜8〕,<H>מֵאֹֽות<h><H>׃ <h>,3967,
43837,43838,〔2300｜2｜28｜6〕,<H>תְּכֵ֨לֶת<h><H> <h>,8504,
254359,254360,〔19849｜24｜36｜6〕,<H>יֹ֣ום<h><H> <h>,3117,יומ
275598,275599,〔21003｜26｜22｜26〕,<H>כֹּהֲנֶ֜יהָ<h><H> <h>,3548,כהנ
59576,59577,〔3085｜3｜13｜32〕,<H>נֶּ֔תֶק<h><H> <h>,5424,נתק
391154,391155,〔12698｜16｜13｜26〕,<H>מֶ֖לֶךְ<h><H> <h>,4428,מלכ
358654,358655,〔17614｜22｜5｜15〕,<H>שֹׁוקָיו֙<h><H> <h>,7785,שׁוק
329262,329263,〔15683｜19｜106｜31〕,<H>צְדָקָ֑ה<h><H> <h>,6666,צדק
330326,330327,〔15791｜19｜110｜4〕,<H>עֹולָ֑ם<h><H> <h>,5769,עלמ
154910,154911,〔7795｜9｜22｜7〕,<H>כְרָמִ֔ים<h><H> <h>,3754,
41043,41044,〔2145｜2｜22｜31〕,<H>אַנְשֵׁי<h><H>־<h>,376,אנשׁ
331635,331636,〔15942｜19｜119｜43〕,<H>מִשְׁפָּטֶ֣ךָ<h><H> <h>,4941,שׁפט
132756,132757,〔6748｜7｜8｜28〕,<H>ימֵ֥י<h><H> <h>,3117,יומ
151730,151731,〔7660｜9｜17｜41〕,<H>צִּנָּ֖ה<h><H> <h>,6793,
285432,285433,〔21499｜26｜40｜21〕,<QR><H>אֵֽלַמָּיו֙<h><H> <h><qr>,361,אול
4230,4231,〔217｜1｜9｜11〕,<H>מַּבּ֑וּל<h><H> <h>,3999,יבל
20855,20856,〔1121｜1｜38｜1〕,<H>אֶחָ֑יו<h><H> <h>,251,
4305,4306,〔221｜1｜9｜15〕,<H>נֶ֥פֶשׁ<h><H> <h>,5315,נפשׁ
184710,184711,〔9096｜11｜10｜16〕,<H>צִּנָּ֥ה<h><H> <h>,6793,
190856,190857,〔9366｜11｜18｜24〕,<H>אֱלֹהִ֑ים<h><H> <h>,430,אול
384960,384961,〔12364｜16｜4｜4〕,<H>בוּזָ֔ה<h><H> <h>,939,בוז
166757,166758,〔8304｜10｜12｜17〕,<H>אָ֑רֶץ<h><H> <h>,776,ארצ
202978,202979,〔9869｜12｜12｜18〕,<H>קֳּדָשִׁ֡ים<h><H> <h>,6944,קדשׁ
225455,225456,〔18416｜23｜39｜3〕,<H>מֶּ֖לֶךְ<h><H> <h>,4428,מלכ
43998,43999,〔2309｜2｜28｜15〕,<H>שֵׁ֥שׁ<h><H> <h>,8336,
219330,219331,〔18075｜23｜22｜22〕,<H>שִׁכְמֹ֑ו<h><H> <h>,7926,שׁכמ
72398,72399,〔3775｜4｜4｜31〕,<H>קַרְשֵׁי֙<h><H> <h>,7175,
349038,349039,〔16626｜20｜8｜23〕,<H>רֹ֗אשׁ<h><H> <h>,7218,ראשׁ
73877,73878,〔3851｜4｜6｜27〕,<H>שְׁמִ֖י<h><H> <h>,8034,שׂום שׂימ
30275,30276,〔1608｜2｜4｜6〕,<H>שָּֽׁלֶג<h><H>׃ <h>,7950,
375845,375846,〔21993｜27｜9｜4〕,<H>חֶ֔סֶד<h><H> <h>,2617,חסד
300958,300959,〔22656｜33｜6｜7〕,<H>שָׁ֑מֶן<h><H> <h>,8081,שׁמנ
94953,94954,〔4996｜5｜3｜20〕,<H>אִ֚ישׁ<h><H> <h>,376,אנשׁ
280781,280782,〔21281｜26｜32｜32〕,<H>עֲרֵלִ֜ים<h><H> <h>,6189,
66243,66244,〔3421｜3｜23｜18〕,<H>פַ֧ר<h><H> <h>,6499,
171437,171438,〔8493｜10｜18｜14〕,<H>שְׁבָטִ֜ים<h><H> <h>,7626,שׁבט
241408,241409,〔19279｜24｜13｜12〕,<H>יָ֑יִן<h><H> <h>,3196,יינ
351879,351880,〔16931｜20｜19｜5〕,<H>עֵ֣ד<h><H> <h>,5707,עוד
80397,80398,〔4212｜4｜16｜17〕,<H>אִ֥ישׁ<h><H> <h>,376,אנשׁ
404505,404506,〔11093｜13｜26｜15〕,<H>נֶ֑גְבָּה<h><H> <h>,5045,נגב
410151,410152,〔11331｜14｜7｜6〕,<H>עֹולָ֣ם<h><H> <h>,5769,עלמ
205323,205324,〔9976｜12｜16｜12〕,<H>מֶּ֨לֶךְ֙<h><H> <h>,4428,מלכ
370981,370982,〔21782｜27｜2｜23〕,<H>גְבוּרְתָ֖א<h><H> <h>,1370,
411630,411631,〔11391｜14｜9｜26〕,<H>מְּלָכִ֑ים<h><H> <h>,4428,מלכ
48159,48160,〔2516｜2｜34｜19〕,<H>רֶ֖חֶם<h><H> <h>,7358,רחמ
284226,284227,〔21445｜26｜38｜19〕,<H>עֶבְרָתִ֖י<h><H> <h>,5678,
344252,344253,〔13674｜18｜33｜23〕,<H>אָ֑לֶף<h><H> <h>,505,אלפ
421914,421915,〔11833｜14｜30｜5〕,<H>קֹ֤ול<h><H> <h>,6963,קול
216233,216234,〔17894｜23｜11｜9〕,<H>מַּ֖יִם<h><H> <h>,4325,
233018,233019,〔18845｜23｜61｜1〕,<H>אֲדֹנָ֥י<h><H> <h>,136,אדנ
58981,58982,〔3058｜3｜13｜5〕,<H>יֹּ֣ום<h><H> <h>,3117,יומ
234151,234152,〔18909｜23｜65｜11〕,<H>גַּד֙<h><H> <h>,1409,גוד
287846,287847,〔21605｜26｜44｜5〕,<H>חֻקֹּ֥ות<h><H> <h>,2708,
407259,407260,〔11214｜14｜2｜2〕,<H>מֵאֹֽות<h><H>׃ פ <h>,3967,
315463,315464,〔14378｜19｜33｜11〕,<H>מַחְשְׁבֹ֥ות<h><H> <h>,4284,חשׁב
50722,50723,〔2651｜2｜38｜17〕,<H>כֶּ֔סֶף<h><H> <h>,3701,כספ
367091,367092,〔12763｜17｜3｜15〕,<H>מֶּ֔לֶךְ<h><H> <h>,4428,מלכ
110220,110221,〔5711｜5｜30｜2〕,<H>יֹּ֑ום<h><H> <h>,3117,יומ
241357,241358,〔19278｜24｜13｜11〕,<H>אֵזֹ֜ור<h><H> <h>,232,
139541,139542,〔7043｜7｜19｜18〕,<H>אִ֔ישׁ<h><H> <h>,376,אנשׁ
175079,175080,〔8668｜10｜23｜14〕,<H>מְּצוּדָ֑ה<h><H> <h>,4686,
7837,7838,〔427｜1｜18｜2〕,<H>אֹ֔הֶל<h><H> <h>,168,אהל
172678,172679,〔8540｜10｜19｜28〕,<H>אדֹנִ֣י<h><H> <h>,113,אדנ
38535,38536,〔2004｜2｜18｜4〕,<H>אֱלֹהֵ֤י<h><H> <h>,430,אול
261159,261160,〔20130｜24｜49｜2〕,<H>תֵ֣ל<h><H> <h>,8510,
257367,257368,〔19960｜24｜41｜2〕,<H>אָֽרֶץ<h><H>׃ <h>,776,ארצ
217917,217918,〔17996｜23｜17｜12〕,<H>מַ֥יִם<h><H> <h>,4325,
398357,398358,〔10758｜13｜12｜37〕,<H>שֵׁ֣בֶט<h><H> <h>,7626,שׁבט
95725,95726,〔5030｜5｜4｜25〕,<H>אָ֑רֶץ<h><H> <h>,776,ארצ
272213,272214,〔20829｜26｜17｜3〕,<H>רִקְמָ֑ה<h><H> <h>,7553,רקמ
134165,134166,〔6816｜7｜10｜4〕,<H>יֹּ֣ום<h><H> <h>,3117,יומ
28247,28248,〔1507｜1｜49｜33〕,<H>רַגְלָ֖יו<h><H> <h>,7272,רגל
29297,29298,〔1564｜2｜2｜9〕,<H>יֶּ֖לֶד<h><H> <h>,3206,ילד
414895,414896,〔11542｜14｜17｜18〕,<H>אֶ֖לֶף<h><H> <h>,505,אלפ
327384,327385,〔15494｜19｜98｜3〕,<H>אֱֽמוּנָתֹו֮<h><H> <h>,530,
249402,249403,〔19633｜24｜28｜14〕,<H>מֶֽלֶךְ<h><H>־<h>,4428,מלכ
181243,181244,〔8953｜11｜7｜18〕,<H>רֹ֣אשׁ<h><H> <h>,7218,ראשׁ
112943,112944,〔5854｜6｜1｜2〕,<H>עַבְדִּ֖י<h><H> <h>,5650,עבד
370930,370931,〔21779｜27｜2｜20〕,<H>עָלְמָ֑א<h><H> <h>,5957,
131247,131248,〔6690｜7｜6｜35〕,<H>מַלְאָכִ֣ים<h><H> <h>,4397,מלאכ
49861,49862,〔2602｜2｜36｜35〕,<H>תְּכֵ֧לֶת<h><H> <h>,8504,
365204,365205,〔20439｜25｜4｜18〕,<H>רְחֹבֹתֵ֑ינוּ<h><H> <h>,7339,רחב
273305,273306,〔20882｜26｜18｜32〕,<H>נְאֻ֖ם<h><H> <h>,5002,נאמ
303632,303633,〔22815｜36｜2｜9〕,<QR><H>גֹּויִ֖י<h><H> <h><qr>,1471,
152497,152498,〔7694｜9｜18｜17〕,<H>מִלְחֲמֹ֣ות<h><H> <h>,4421,לחמ
74706,74707,〔3906｜4｜7｜55〕,<H>שֶׁ֖קֶל<h><H> <h>,8255,שׁקל
325316,325317,〔15290｜19｜86｜5〕,<H>אֲ֭דֹנָי<h><H> <h>,136,אדנ
257420,257421,〔19963｜24｜41｜5〕,<H>אִ֔ישׁ<h><H> <h>,376,אנשׁ
423721,423722,〔11903｜14｜32｜27〕,<H>זָהָ֜ב<h><H> <h>,2091,זהב
422742,422743,〔11864｜14｜31｜9〕,<H>כֹּֽהֲנִ֛ים<h><H> <h>,3548,כהנ
358275,358276,〔17587｜22｜4｜4〕,<H>אֶ֤לֶף<h><H> <h>,505,אלפ
390543,390544,〔12673｜16｜13｜1〕,<H>עֹולָֽם<h><H>׃ <h>,5769,עלמ
18071,18072,〔961｜1｜32｜32〕,<H>גִ֖יד<h><H> <h>,1517,
362486,362487,〔17483｜21｜9｜7〕,<H>לַחְמֶ֔ךָ<h><H> <h>,3899,לחמ
421547,421548,〔11817｜14｜29｜25〕,<H>כִנֹּרֹ֔ות<h><H> <h>,3658,
355206,355207,〔17260｜20｜30｜8〕,<H>כָּזָ֡ב<h><H> <h>,3577,כזב
57871,57872,〔3000｜3｜11｜2〕,<H>אָֽרֶץ<h><H>׃ <h>,776,ארצ
14018,14019,〔751｜1｜27｜23〕,<H>אָחִ֖יו<h><H> <h>,251,
169804,169805,〔8429｜10｜16｜2〕,<H>יַּ֕יִן<h><H> <h>,3196,יינ
17119,17120,〔913｜1｜31｜39〕,<H>יָּדִ֖י<h><H> <h>,3027,יוד
195539,195540,〔9564｜12｜2｜12〕,<H>בְגָדָ֔יו<h><H> <h>,899,בגד
36195,36196,〔1889｜2｜13｜21〕,<H>עַמּ֤וּד<h><H> <h>,5982,עמד
322934,322935,〔15064｜19｜74｜15〕,<H>נָ֑חַל<h><H> <h>,5158,נחל
380542,380543,〔12157｜15｜6｜5〕,<H>אֱלָהָֽא<h><H>׃ ס <h>,426,אול
253271,253272,〔19807｜24｜34｜5〕,<H>אָדֹ֖ון<h><H> <h>,113,אדנ
275101,275102,〔20973｜26｜21｜28〕,<H>אָדָ֗ם<h><H> <h>,120,אדמ
237630,237631,〔19088｜24｜5｜29〕,<H>גֹ֣וי<h><H> <h>,1471,
260833,260834,〔20113｜24｜48｜32〕,<H>נְטִֽישֹׁתַ֨יִךְ֙<h><H> <h>,5189,נטשׁ
16213,16214,〔867｜1｜30｜36〕,<H>צֹ֥אן<h><H> <h>,6629,צאנ
66553,66554,〔3437｜3｜23｜34〕,<H>יָמִ֖ים<h><H> <h>,3117,יומ
382356,382357,〔12241｜15｜9｜3〕,<H>זְקָנִ֔י<h><H> <h>,2206,זקנ
15105,15106,〔804｜1｜29｜8〕,<H>צֹּֽאן<h><H>׃ <h>,6629,צאנ
374880,374881,〔21948｜27｜7｜14〕,<H>שָׁלְטָ֤ן<h><H> <h>,7985,
400119,400120,〔10860｜13｜16｜39〕,<H>כֹּהֵ֗ן<h><H> <h>,3548,כהנ
315553,315554,〔14386｜19｜33｜19〕,<H>רָעָֽב<h><H>׃ <h>,7458,רעב
280716,280717,〔21278｜26｜32｜29〕,<H>חָ֑רֶב<h><H> <h>,2719,חרב
390541,390542,〔12673｜16｜13｜1〕,<H>אֱלֹהִ֖ים<h><H> <h>,430,אול
320552,320553,〔14837｜19｜62｜9〕,<H>כָּזָ֪ב<h><H> <h>,3577,כזב
52061,52062,〔2721｜2｜40｜13〕,<H>קֹּ֑דֶשׁ<h><H> <h>,6944,קדשׁ
148198,148199,〔7504｜9｜13｜18〕,<H>גְּב֔וּל<h><H> <h>,1366,גבל
370494,370495,〔21757｜27｜1｜19〕,<H>מֶּֽלֶךְ<h><H>׃ <h>,4428,מלכ
141921,141922,〔7232｜9｜1｜19〕,<H>אִשְׁתֹּ֔ו<h><H> <h>,802,אישׁ
269992,269993,〔20718｜26｜13｜9〕,<H>יָדִ֗י<h><H> <h>,3027,יוד
170957,170958,〔8475｜10｜17｜25〕,<H>אֲחֹ֥ות<h><H> <h>,269,
407345,407346,〔11217｜14｜2｜5〕,<H>אֱלֹהִֽים<h><H>׃ <h>,430,אול
306841,306842,〔22970｜38｜7｜7〕,<H>נֶּ֥גֶב<h><H> <h>,5045,נגב
92695,92696,〔4888｜4｜36｜8〕,<H>נַחֲלָ֗ה<h><H> <h>,5159,נחל
54064,54065,〔2822｜3｜4｜26〕,<H>חֶלְבֹּו֙<h><H> <h>,2459,
306894,306895,〔22974｜38｜7｜11〕,<H>כָתֵ֖ף<h><H> <h>,3802,
74732,74733,〔3908｜4｜7｜57〕,<H>כֶּֽבֶשׂ<h><H>־<h>,3532,
156770,156771,〔7875｜9｜25｜13〕,<H>חַרְבֹּ֔ו<h><H> <h>,2719,חרב
141207,141208,〔7113｜7｜21｜10〕,<H>חֶ֔רֶב<h><H> <h>,2719,חרב
228902,228903,〔18622｜23｜48｜7〕,<H>יֹ֖ום<h><H> <h>,3117,יומ
286629,286630,〔21551｜26｜41｜24〕,<H>דְלָתֹ֖ות<h><H> <h>,1817,
65431,65432,〔3374｜3｜22｜4〕,<H>קֳּדָשִׁים֙<h><H> <h>,6944,קדשׁ
334672,334673,〔16274｜19｜140｜10〕,<H>אֵ֥שׁ<h><H> <h>,784,אשׁ
139655,139656,〔7048｜7｜19｜23〕,<H>בַּ֣עַל<h><H> <h>,1167,בעל
230180,230181,〔18691｜23｜51｜17〕,<H>חֲמָתֹ֑ו<h><H> <h>,2534,יחמ
218570,218571,〔18029｜23｜19｜24〕,<H>בְּרָכָ֖ה<h><H> <h>,1293,ברכ
273191,273192,〔20876｜26｜18｜26〕,<H>צִּדְקָתֹ֛ו<h><H> <h>,6666,צדק
26776,26777,〔1432｜1｜47｜11〕,<H>מֵיטַ֥ב<h><H> <h>,4315,יטב
