,BHSsort,〔KJVverseID｜book｜chapter｜verse〕,BHSA,extendedStrongNumber,Root
335257,335258,〔16323｜19｜145｜2〕,<H>שִׁ֝מְךָ֗<h><H> <h>,8034,שׂום שׂימ
2345,2346,〔122｜1｜5｜16〕,<H>מֵאֹ֖ות<h><H> <h>,3967,
279945,279946,〔21241｜26｜31｜10〕,<H>אֲדֹנָ֣י<h><H> <h>,136,אדנ
387600,387601,〔12509｜16｜8｜15〕,<H>זַ֨יִת֙<h><H> <h>,2132,
396254,396255,〔10633｜13｜9｜17〕,<H>אֲחִיהֶ֥ם<h><H> <h>,251,
318191,318192,〔14625｜19｜46｜10〕,<H>אָֽרֶץ<h><H>׃ <h>,776,ארצ
218241,218242,〔18011｜23｜19｜6〕,<H>ס֖וּף<h><H> <h>,5488,
202741,202742,〔9859｜12｜12｜8〕,<H>בֶּ֥דֶק<h><H> <h>,919,
218938,218939,〔18051｜23｜21｜15〕,<H>חֶ֣רֶב<h><H> <h>,2719,חרב
223136,223137,〔18296｜23｜33｜16〕,<H>מִשְׂגַּבֹּ֑ו<h><H> <h>,4869,שׂגב
276100,276101,〔21032｜26｜23｜24〕,<H>מִשְׁפָּ֔ט<h><H> <h>,4941,שׁפט
373199,373200,〔21877｜27｜5｜2〕,<H>מַלְכָּא֙<h><H> <h>,4430,מלכ
196064,196065,〔9588｜12｜3｜11〕,<H>מֶֽלֶךְ<h><H>־<h>,4428,מלכ
51242,51243,〔2675｜2｜39｜10〕,<H>ט֣וּרֵי<h><H> <h>,2905,
237591,237592,〔19086｜24｜5｜27〕,<H>כְלוּב֙<h><H> <h>,3619,
88542,88543,〔4648｜4｜29｜39〕,<H>שַׁלְמֵיכֶֽם<h><H>׃ <h>,8002,שׁלמ
317641,317642,〔14574｜19｜44｜2〕,<H>לְ֝אֻמִּ֗ים<h><H> <h>,3816,
345797,345798,〔13832｜18｜38｜38〕,<H>מּוּצָ֑ק<h><H> <h>,4165,
353974,353975,〔17139｜20｜25｜25〕,<H>אֶ֥רֶץ<h><H> <h>,776,ארצ
410581,410582,〔11347｜14｜7｜22〕,<H>אֶ֣רֶץ<h><H> <h>,776,ארצ
328226,328227,〔15572｜19｜103｜22〕,<H>נַ֝פְשִׁ֗י<h><H> <h>,5315,נפשׁ
292386,292387,〔22180｜28｜7｜1〕,<H>חֽוּץ<h><H>׃ <h>,2351,חוצ
9911,9912,〔531｜1｜21｜17〕,<H>מַלְאַ֨ךְ<h><H> <h>,4397,מלאכ
260172,260173,〔20073｜24｜46｜27〕,<H>עַבְדִּ֤י<h><H> <h>,5650,עבד
259759,259760,〔20050｜24｜46｜4〕,<H>רְמָחִ֔ים<h><H> <h>,7420,
