,Unnamed: 0,BHSsort,〔KJVverseID｜book｜chapter｜verse〕,BHSA,extendedStrongNumber,Root
48907,354564,354565,〔17196｜20｜27｜26〕,<H>עַתּוּדִֽים<h><H>׃ <h>,6260,עתד
470,2918,2919,〔155｜1｜6｜17〕,<H>מַּבּ֥וּל<h><H> <h>,3999,יבל
16113,120137,120138,〔6136｜6｜12｜5〕,<H>גְּב֖וּל<h><H> <h>,1366,גבל
50615,365524,365525,〔12707｜17｜1｜4〕,<H>גְּדוּלָּתֹ֑ו<h><H> <h>,1420,גדל
22085,173847,173848,〔8586｜10｜21｜5〕,<H>גְּבֻ֥ל<h><H> <h>,1366,גבל
12539,91504,91505,〔4823｜4｜34｜6〕,<H>גְּב֥וּל<h><H> <h>,1366,גבל
43197,322265,322266,〔14998｜19｜71｜21〕,<H>גְּֽדֻלָּתִ֗י<h><H> <h>,1420,גדל
56042,400943,400944,〔10899｜13｜18｜8〕,<H>עַמּוּדִ֔ים<h><H> <h>,5982,עמד
38224,290726,290727,〔21727｜26｜48｜24〕,<H>גְּב֣וּל<h><H> <h>,1366,גבל
48276,351295,351296,〔16871｜20｜16｜30〕,<H>תַּהְפֻּכֹ֑ות<h><H> <h>,8419,הפכ
46055,338697,338698,〔13099｜18｜10｜12〕,<H>פְקֻדָּתְךָ֗<h><H> <h>,6486,פקד
22925,180507,180508,〔8918｜11｜6｜21〕,<QR><H>רַתּוּקֹ֤ות<h><H> <h><qr>,7572,רתק
16288,121458,121459,〔6207｜6｜15｜4〕,<H>גְּב֖וּל<h><H> <h>,1366,גבל
16387,122540,122541,〔6283｜6｜17｜7〕,<H>גְבוּל<h><H>־<h>,1366,גבל
37701,288464,288465,〔21632｜26｜45｜1〕,<H>גְּבוּלָ֖הּ<h><H> <h>,1366,גבל
47155,345311,345312,〔13782｜18｜37｜12〕,<QR><H>תַחְבּוּלֹתָ֣יו<h><H> <h><qr>,8458,חבל
25177,198961,198962,〔9710｜12｜7｜2〕,<H>אֲרֻבֹּות֙<h><H> <h>,699,ארב
