,Root,BHSA,extendedStrongNumber
640,,<H>מַצַּ֣ב<h><H> <h>,4673
661,מלכ,<H>מַלְכָּ֗הּ<h><H> <h>,4428
663,,<H>חֻקֹּתָ֖יו<h><H> <h>,2708
666,,<H>יְבוּסִֽי<h><H>׃ ס <h>,2983
672,,<H>מָּ֑יִם<h><H> <h>,4325
680,,<H>גֹּויִֽם<h><H>׃ <h>,1471
684,עבד,<H>עַבְדִּ֣י<h><H> <h>,5650
697,,<H>כִּיֹּר֙<h><H> <h>,3595
705,,<H>צָּעִיף֙<h><H> <h>,6809
709,,<H>שֹּׁ֣עֲרִ֔ים<h><H> <h>,7778
713,,<H>בַיְתֵ֛הּ<h><H> <h>,1005
716,סוס,<H>סּוּסִ֗ים<h><H> <h>,5483
720,קומ,<H>מָּקֹ֤ום<h><H> <h>,4725
723,,<H>חִטִּ֑ים<h><H> <h>,2406
725,,<H>גֹּויִ֔ם<h><H> <h>,1471
730,,<H>מַעְגְּלֵי<h><H>־<h>,4570
740,,<H>פַּחַ֤ת<h><H> <h>,6347
741,,<H>יָּֽזַע<h><H>׃ <h>,3154
746,,<H>מַּ֖יִם<h><H> <h>,4325
747,סוס,<H>סּוּסִ֑ים<h><H> <h>,5483
763,טרפ,<H>טַרְפֵּ֤י<h><H> <h>,2964
773,,<H>גִּדְרֹ֥ת<h><H> <h>,1448
782,,<H>תֵּבָ֖ה<h><H> <h>,8392
800,עבד,<H>עַבְדְּךָ֖<h><H> <h>,5650
802,חתנ,<H>חֲתֻנָּתֹ֔ו<h><H> <h>,2861
804,,<H>מְּצוּדָ֔ה<h><H> <h>,4686
807,,<H>גֹּויִֽם<h><H>׃ <h>,1471
810,,<H>אֱמֽוּנָתְךָ֗<h><H> <h>,530
811,,<H>מַּעֲשֵׂ֛ר<h><H> <h>,4643
814,אישׁ,<H>אִשָּׁ֥ה<h><H> <h>,802
815,,<H>חֲנֻכַּ֛ת<h><H> <h>,2597
819,חסד,<H>חַ֫סְדֶּ֥ךָ<h><H> <h>,2617
