,Unnamed: 0,BHSsort,〔KJVverseID｜book｜chapter｜verse〕,BHSA,extendedStrongNumber,Root
7011,52441,52442,〔2742｜2｜40｜34〕,<H>מִּשְׁכָּֽן<h><H>׃ <h>,4908,שׁכנ
9793,71024,71025,〔3700｜4｜3｜7〕,<H>מִּשְׁכָּֽן<h><H>׃ <h>,4908,שׁכנ
42836,320521,320522,〔14834｜19｜62｜6〕,<H>מִ֝שְׂגַּבִּ֗י<h><H> <h>,4869,שׂגב
8664,63527,63528,〔3263｜3｜18｜11〕,<H>מֹולֶ֣דֶת<h><H> <h>,4138,ילד
28559,223848,223849,〔18337｜23｜36｜6〕,<H>מִשְׁעֶנֶת֩<h><H> <h>,4938,שׁענ
43564,324202,324203,〔15183｜19｜78｜69〕,<H>מִקְדָּשֹׁ֑ו<h><H> <h>,4720,קדשׁ
36025,278210,278211,〔21149｜26｜27｜27〕,<H>מַעֲרָבֵ֕ךְ<h><H> <h>,4627,ערב
55341,394557,394558,〔10515｜13｜6｜60〕,<H>מִגְרָשֶׁ֔יהָ<h><H> <h>,4054,גרשׁ
57701,413012,413013,〔11457｜14｜13｜3〕,<H>מִּלְחָמָ֗ה<h><H> <h>,4421,לחמ
42719,319909,319910,〔14781｜19｜58｜1〕,<H>מִכְתָּֽם<h><H>׃ <h>,4387,כתמ
28106,221143,221144,〔18183｜23｜28｜18〕,<H>מִרְמָֽס<h><H>׃ <h>,4823,רמס
42630,319509,319510,〔14748｜19｜55｜15〕,<QR><H>מָ֨וֶת<h><H> ׀ <h><qr>,3451,ישׁמ
5869,46056,46057,〔2415｜2｜30｜32〕,<H>מַ֨תְכֻּנְתֹּ֔ו<h><H> <h>,4971,תכל
5472,43979,43980,〔2308｜2｜28｜14〕,<H>מִּשְׁבְּצֹֽת<h><H>׃ ס <h>,4865,שׁבצ
16650,124970,124971,〔6413｜6｜21｜31〕,<H>מִגְרָשֶׁ֑הָ<h><H> <h>,4054,גרשׁ
12625,92350,92351,〔4873｜4｜35｜27〕,<H>מִקְלָטֹ֑ו<h><H> <h>,4733,קלט
57321,409950,409951,〔11322｜14｜6｜39〕,<H>מִשְׁפָּטָ֑ם<h><H> <h>,4941,שׁפט
40776,307886,307887,〔23022｜38｜10｜5〕,<H>מִּלְחָמָ֔ה<h><H> <h>,4421,לחמ
6573,50488,50489,〔2637｜2｜38｜3〕,<H>מִּזְרָקֹ֔ת<h><H> <h>,4219,זרק
28463,223344,223345,〔18309｜23｜34｜5〕,<H>מִשְׁפָּֽט<h><H>׃ <h>,4941,שׁפט
20776,162876,162877,〔8132｜10｜4｜11〕,<H>מִשְׁכָּבֹ֑ו<h><H> <h>,4904,שׁכב
37059,284759,284760,〔21469｜26｜39｜20〕,<H>מִלְחָמָ֑ה<h><H> <h>,4421,לחמ
10704,76401,76402,〔3999｜4｜10｜10〕,<H>מֹועֲדֵיכֶם֮<h><H> <h>,4150,יעד
58863,422997,422998,〔11874｜14｜31｜19〕,<H>מִגְרַ֤שׁ<h><H> <h>,4054,גרשׁ
12598,92079,92080,〔4859｜4｜35｜13〕,<H>מִקְלָ֖ט<h><H> <h>,4733,קלט
19517,151051,151052,〔7632｜9｜17｜13〕,<H>מִּלְחָמָ֔ה<h><H> <h>,4421,לחמ
36546,281189,281190,〔21300｜26｜33｜19〕,<H>מִשְׁפָּ֖ט<h><H> <h>,4941,שׁפט
28982,226778,226779,〔18497｜23｜42｜16〕,<H>מַֽעֲקַשִּׁים֙<h><H> <h>,4625,עקשׁ
12950,95165,95166,〔5006｜5｜4｜1〕,<H>מִּשְׁפָּטִ֔ים<h><H> <h>,4941,שׁפט
40970,309288,309289,〔23084｜38｜14｜15〕,<H>מַּגֵּפָ֖ה<h><H> <h>,4046,נגפ
40748,307755,307756,〔23015｜38｜9｜15〕,<H>מִּזְרָ֔ק<h><H> <h>,4219,זרק
46767,342928,342929,〔13540｜18｜29｜7〕,<H>מֹושָׁבִֽי<h><H>׃ <h>,4186,ישׁב
4938,41123,41124,〔2151｜2｜23｜6〕,<H>מִשְׁפַּ֥ט<h><H> <h>,4941,שׁפט
57464,411112,411113,〔11369｜14｜9｜4〕,<H>מַעֲמַ֨ד<h><H> <h>,4612,עמד
28031,220626,220627,〔18156｜23｜27｜4〕,<H>מִּלְחָמָ֔ה<h><H> <h>,4421,לחמ
7220,53668,53669,〔2803｜3｜4｜7〕,<H>מֹועֵֽד<h><H>׃ <h>,4150,יעד
11302,81792,81793,〔4280｜4｜18｜22〕,<H>מֹועֵ֑ד<h><H> <h>,4150,יעד
